Title	Date	Text
Operation Sandtrap	1970-11-03	Bug the diplomatic pouch of the Libyan attaché during the layover in Rome.
The Munich Lead	1972-09-15	Identify the logistical backbone of the Black September cell operating out of a safehouse in Fürstenfeldbruck.
Project Bluebird	1973-04-20	Exfiltrate the defector from the Hanoi Hilton under the cover of a simulated air raid.
The Warsaw Whisper	1975-08-12	Intercept the handwritten correspondence between the Solidarity leaders and the underground press.
Operation Firefly	1976-12-25	Deploy the miniature infrared beacons to mark the landing zone for the C-130 extraction in Angola.
The Tehran Handshake	1979-02-11	Secure the shredding room at the US Embassy before the revolutionary guard breaches the perimeter.
Project Azorian II	1980-05-30	Monitor the Soviet recovery ship's sonar activity over the K-129 wreckage site.
The Falkland Shadow	1982-05-02	Provide real-time satellite imagery of the Argentine cruiser 'General Belgrano' to the Task Force.
Operation Able Archer	1983-11-07	Monitor the Kremlin’s nuclear readiness levels during the NATO command post exercise.
The Beirut Wire	1984-03-16	Track the kidnappers of the CIA station chief through the backstreets of West Beirut.
Project Starlight	1985-06-21	Sabotage the optical sensors of the Soviet anti-satellite weapon prototype.
Operation El Dorado	1986-04-14	Conduct post-strike damage assessment of the terrorist training camps in Benghazi.
The Kabul Caravan	1987-10-10	Deliver the Stinger missiles to the Mujahideen commanders in the Panjshir Valley.
The Berlin Chisel	1989-11-12	Identify the Stasi agents attempting to burn files behind the Normannenstraße headquarters.
Operation Desert Shield	1990-08-15	Establish a human intelligence network inside Kuwait City to monitor Iraqi troop movements.
The Yeltsin Guard	1991-08-19	Protect the communication lines to the Russian White House during the attempted coup.
Project Seraphim	1992-02-28	Secure the loose tactical nukes from the decommissioned base in Kazakhstan.
Operation Restore Hope	1993-12-05	Locate the radio transmitter used by Aidid’s militia to broadcast anti-UN propaganda.
The Tokyo Mist	1995-03-20	Trace the chemical precursors used in the sarin gas attack back to the cult’s hidden laboratory.
Operation Balkan Ghost	1996-07-04	Identify the mass grave sites using declassified U-2 spy plane photography.
The Hong Kong Handover	1997-06-30	Extract the high-level intelligence assets before the territory reverts to Chinese control.
Project Echelon	1998-11-22	Intercept the satellite phone call between the cartel leaders in the Medellin mountains.
The Belgrade Bounce	1999-05-07	Calibrate the GPS guidance for the stealth bomber mission targeting the strategic bridges.
Operation Neptune	2000-01-10	Infiltrate the al-Qaeda training camp in the Kandahar province using a local guide.
The Tora Bora Trail	2001-12-12	Use the cave-penetrating radar to locate the underground bunker complex.
Operation Red Dawn II	2003-12-13	Provide the DNA verification for the high-value target captured in the spider hole near Tikrit.
The Orange Signal	2004-11-20	Monitor the encrypted radio traffic during the protests in Independence Square, Kyiv.
Project Stuxnet	2006-06-15	Infect the air-gapped industrial control systems at the Natanz enrichment facility.
Operation Olympic Games	2008-08-08	Conduct a cyber-attack on the regional air defense network to create a 10-minute blind spot.
The Abbottabad Raid	2011-05-02	Exploit the captured hard drives for information on the 'Courier' network.
Operation Barkhane	2014-08-01	Deploy the Reaper drones to track the insurgent convoys across the Sahel.
The Crimea Freeze	2014-03-15	Identify the 'Little Green Men' by intercepting their unencrypted tactical radios.
Project Shadow Network	2015-10-10	Infiltrate the ISIS media wing and replace the propaganda videos with tracking software.
Operation Fancy Bear	2016-07-22	Trace the DNC hack back to the GRU building on Komsomolsky Avenue.
The Salisbury Trace	2018-03-04	Analyze the CCTV footage to identify the suspects involved in the Novichok poisoning.
Operation Artemis	2020-01-03	Execute the precision strike on the Quds Force commander at Baghdad Airport.
The Pegasus Leak	2021-07-18	Conduct a forensic audit of the Prime Minister's mobile device for NSO Group spyware.
Operation Starlink	2022-02-24	Distribute the satellite terminals to the resistance units behind the front lines.
Project Nord Stream	2022-09-26	Investigate the underwater seismic anomalies near the pipeline leak site.
The ChatGPT Breach	2023-04-12	Recover the proprietary weights of the LLM stolen by the industrial espionage ring.
Operation Deep Sea	1971-12-01	Tap the undersea cables in the Sea of Okhotsk using the 'Halibut' submarine.
The Chessmaster	1978-05-15	Facilitate the defection of the Grandmaster during the tournament in Baguio City.
Project MK-Ultra II	1974-02-10	Investigate the claims of psychic warfare being developed at the Stanford Research Institute.
Operation Eagle Claw	1980-04-24	Manage the refueling logistics at 'Desert One' for the hostage rescue attempt.
The Green Book	1983-02-05	Assassinate the Libyan hit squad leader before he reaches the target in London.
Operation Magnum	1988-12-21	Collect the wreckage of Pan Am 103 to find evidence of the MST-13 timer.
The Gadaffi Ledger	2011-10-20	Locate the hidden gold reserves of the fallen regime in the tunnels beneath Sirte.
Project SolarWinds	2020-12-13	Patch the backdoor in the government software before the data exfiltration is complete.
Operation Cobalt Sky	2024-06-08	Intercept the hypersonic glide vehicle data during the test flight over the Gobi Desert.
The Silicon Shield	2025-05-19	Prevent the sabotage of the TSMC fabrication plants during the blockade.
Operation Sunburst	1971-03-14	Plant the analog bug in the Soviet attache’s rotary phone. Ensure no metallic interference from the radiator.
The Cobalt Courier	1972-08-22	Exchange the microfilm canister for a pack of cigarettes at the checkpoint in West Berlin.
Project Echo	1973-11-05	Monitor shortwave radio frequencies for the "Numbers Station" broadcast originating from the Urals.
Velvet Fog	1975-01-30	Infiltrate the jazz club in Prague. Identify the source leaking NATO movement patterns to the KGB.
Silver Hammer	1976-06-12	Sabotage the prototype centrifuge at the industrial plant using the chemical corrosive provided.
Ghost Rider	1978-10-09	Provide extraction for the defector via a low-altitude "Skyhook" pickup in the Mongolian steppe.
Neon Night	1980-12-04	Use the briefcase tracker to follow the arms dealer through the crowded streets of Hong Kong.
Iron Curtain II	1982-04-18	Photograph the new ballistic missile silos using the high-altitude U-2 reconnaissance flight data.
The Polar Gambit	1983-09-21	Submerge the acoustic sensor near the Arctic shelf to track the new 'Typhoon' class submarine.
Acid Rain	1985-02-11	Neutralize the signal jammer at the border using a localized EMP burst. Maintain radio silence.
Digital Dawn	1987-07-07	Intercept the encrypted telex message regarding the nuclear disarmament talks in Reykjavik.
Operation Firebrand	1989-11-10	Assist the resistance group in bypassing the security wall using the laser-cutting kit.
The Silicon Slip	1991-03-25	Recover the stolen 3.5-inch floppy disk containing the master list of double agents in the Balkans.
Mercury Rising	1993-05-14	Bypass the keypad lock on the offshore vault. Retrieve the hard-copy ledger of the 'Shadow Bank'.
Wired Wing	1995-10-01	Test the new GPS-guided surveillance drone over the contested airspace in the No-Fly Zone.
The Y2K Shadow	1997-12-20	Infiltrate the mainframe in London. Ensure the 'logic bomb' does not detonate during the New Year.
Operation Proxy	1999-08-08	Establish a secure VPN tunnel using the experimental encryption protocols to bypass the firewall.
Cyber Spear	2001-02-15	Identify the source of the 'I Love You' virus variant that targeted the Department of Defense.
The Nomad Protocol	2003-06-30	Track the terrorist financier through the biometric data collected at the Dubai International Airport.
Black Sky	2005-09-12	Disable the satellite uplink for the rogue militia's communication network using a ground-based jammer.
Viper’s Nest	2007-11-04	Infiltrate the dark web forum 'The Agora'. Identify the user selling the stolen NSA exploits.
The Glass Box	2009-04-19	Use the remote thermal imaging drone to count the occupants inside the high-security compound.
Operation Ghost Cell	2011-01-25	Capture the high-value target in the outskirts of Abbottabad. Secure all digital media on-site.
Cloud Breaker	2013-08-03	Extract the whistleblower from the transit lounge of the Moscow airport before the FSB closes in.
The Prism Key	2015-12-10	Decrypt the 256-bit AES communication between the two rogue artificial intelligence nodes.
Operation Deepfake	2017-05-22	Verify the authenticity of the leaked video message from the Prime Minister using the forensic suite.
Neural Strike	2019-10-15	Prevent the state-sponsored hackers from gaining access to the quantum computing research hub.
Silent Orbit	2021-03-01	Deploy the microsatellite to monitor the hypersonic missile tests in the Pacific Ocean.
The Meta Thread	2023-07-14	Infiltrate the VR meeting space used by the underground syndicate to plan the heist.
Operation Obsidian	2025-11-20	Sabotage the autonomous drone factory using the 'Zero-Day' exploit delivered via physical port.
The Granite Gate	1970-05-12	Smuggle the defecting scientist across the Turkish border in the hidden compartment of the truck.
Project Bluebird	1974-09-09	Test the effectiveness of the new truth serum on the high-ranking prisoner in the safehouse.
Operation Chessboard	1977-02-14	Plant the bug inside the ivory chess piece destined for the ambassador's personal study.
The Amber File	1981-11-30	Recover the lost Nazi gold map from the sunken U-boat off the coast of Argentina.
Project Star Wars	1984-06-25	Evaluate the feasibility of the space-based laser defense system against incoming ICBMs.
The Midas Touch	1986-12-15	Infiltrate the Swiss bank vault and replace the real diamonds with the synthetic tracking gems.
Operation Red Sparrow	1988-03-10	Train the new deep-cover asset in the art of seduction and psychological manipulation.
The Velvet Revolution	1990-11-05	Monitor the student protests in Prague and ensure the 'Project Phoenix' assets remain safe.
